Item Code,Quantity,Purchase Rate,Sales Rate,Addition Item Data Required, item name, hsn code, unit, gst rate fix or fluid, first gst rate, amount in refence to gst rate, second gst rate, shade, size,description, Stock Group,Stock Subgroup  ,,
,6,745,1220,yes,LVOV-863-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,805,1310,yes,LVOV-863-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,4,865,1395,yes,LVOV-863-4XL-5XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,745,1220,yes,LVOV-865-M-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,805,1310,yes,LVOV-865-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,865,1395,yes,LVOV-865-4XL-5XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,1145,1945,yes,LVOV-543-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1205,2045,yes,LVOV-543-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1145,1945,yes,LVOV-551-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1205,2045,yes,LVOV-551-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,1145,1945,yes,LVOV-532-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1205,2045,yes,LVOV-532-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,945,1575,yes,LVOV-621-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,8,875,1445,yes,LVOV-401-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,10,885,1445,yes,LVOV-402-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,955,1475,yes,LVOV-922-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,955,1475,yes,LVOV-922-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,905,1475,yes,LVOV-644-M-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,855,1395,yes,LVOV-923-M-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,11,905,1475,yes,LVOV-647-M-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,8,845,1395,yes,LVOV-925-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,905,1475,yes,LVOV-925-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,1095,1815,yes,LVOV-1018-M-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1095,1815,yes,LVOV-1012-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1095,1640,yes,LVOV-1007-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,1155,1945,yes,LVOV-539-M-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,20,795,1295,yes,LVOV-834-M-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,18,755,1235,yes,LVOV-812-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,755,1235,yes,LVOV-810-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,755,1235,yes,LVOV-807-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,945,1575,yes,LVOV-625-L-XL-2XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1145,1945,yes,LVOV-537-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1205,2045,yes,LVOV-537-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,895,1475,yes,LVOV-634-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,955,1475,yes,LVOV-634-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,9,1095,1815,yes,LVOV-1015-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,1155,1905,yes,LVOV-1015-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,8,995,1640,yes,LVOV-1002-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,4,1055,1740,yes,LVOV-1002-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,6,995,1640,yes,LVOV-1001-M-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,4,1055,1740,yes,LVOV-1001-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,645,1065,yes,LVOV-848-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,705,1160,yes,LVOV-848-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,765,1260,yes,LVOV-848-4XL-5XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,12,645,1065,yes,LVOV-849-L-XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,8,705,1160,yes,LVOV-849-2XL-3XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,10,765,1260,yes,LVOV-849-4XL-5XL,6110,Pcs,fluid,5,1050,12,,,,LVOV,L C OSWAL,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
