Item Code,Quantity,Purchase Rate,Sales Rate,Addition Item Data Required,Item Name,hsn code, unit, gst rate fix or fluid, first gst rate, amount in refence to gst rate, second gst rate, shade, size,description, Stock Group,Stock Subgroup  
8.90782E+12,1,1563.88,2499,yes,4202 MONOCHROME SLMFT JTBK,6203,Pcs,fluid,5,1050,12,JET BLACK,32,,JEANS,KILLAR
8.90782E+12,1,1563.88,2499,yes,4202 MONOCHROME SLMFT JTBK,6203,Pcs,fluid,5,1050,12,JET BLACK,34,,JEANS,KILLAR
8.90782E+12,1,1563.88,2499,yes,4202 MONOCHROME SLMFT JTBK,6203,Pcs,fluid,5,1050,12,JET BLACK,36,,JEANS,KILLAR
8.90782E+12,1,1563.88,2499,yes,4202 MONOCHROME SLMFT NV,6203,Pcs,fluid,5,1050,12,NAVY,32,,JEANS,KILLAR
8.90782E+12,1,1563.88,2499,yes,4202 MONOCHROME SLMFT NV,6203,Pcs,fluid,5,1050,12,NAVY,34,,JEANS,KILLAR
8.90782E+12,1,1563.88,2499,yes,4202 MONOCHROME SLMFT NV,6203,Pcs,fluid,5,1050,12,NAVY,36,,JEANS,KILLAR
8.90782E+12,1,1563.88,2499,yes,4202 MONOCHROME SLMFT NV,6203,Pcs,fluid,5,1050,12,NAVY,38,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT ASH,6203,Pcs,fluid,5,1050,12,ASH,30,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT ASH,6203,Pcs,fluid,5,1050,12,ASH,32,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT ASH,6203,Pcs,fluid,5,1050,12,ASH,34,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT ASH,6203,Pcs,fluid,5,1050,12,ASH,36,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT FRSINDG,6203,Pcs,fluid,5,1050,12,FRESH INDIGO,30,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT FRSINDG,6203,Pcs,fluid,5,1050,12,FRESH INDIGO,32,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT FRSINDG,6203,Pcs,fluid,5,1050,12,FRESH INDIGO,34,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT FRSINDG,6203,Pcs,fluid,5,1050,12,FRESH INDIGO,36,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT FRSINDG,6203,Pcs,fluid,5,1050,12,FRESH INDIGO,38,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT KHK,6203,Pcs,fluid,5,1050,12,KHAKI,30,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT KHK,6203,Pcs,fluid,5,1050,12,KHAKI,32,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT KHK,6203,Pcs,fluid,5,1050,12,KHAKI,34,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT KHK,6203,Pcs,fluid,5,1050,12,KHAKI,36,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT KHK,6203,Pcs,fluid,5,1050,12,KHAKI,38,,JEANS,KILLAR
8.90782E+12,1,1751.38,2799,yes,4211 LOWELL SKFT OLV,6203,Pcs,fluid,5,1050,12,OLIVE,30,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT OLV,6203,Pcs,fluid,5,1050,12,OLIVE,32,,JEANS,KILLAR
8.90782E+12,2,1751.38,2799,yes,4211 LOWELL SKFT OLV,6203,Pcs,fluid,5,1050,12,OLIVE,34,,JEANS,KILLAR
